gmovie,gdate,gaudience,ggenre,gopendate,gdirec,gactor,gmovie_id
한여름밤의 재즈,2022-10-26,31,"다큐멘터리,공연",2022-09-08,버트 스턴,"루이 암스트롱,마할리아 잭슨,셀로니어스 몽크,척 베리,아니타 오데이","한여름밤의 재즈다큐멘터리,공연버트 스턴"
9명의 번역가,2022-10-26,22,"미스터리,스릴러",2022-09-14,레지스 르왕사르,"올가 쿠릴렌코,램버트 윌슨,리카르도 스카마르치오,시드 바벳 크누센","9명의 번역가미스터리,스릴러레지스 르왕사르"
인플루엔자,2022-10-26,1,드라마,2022-08-25,황준하,"김다솔,추선우,김수지,안서희,왕화영,김종숙,김남혜,김용환,문진희",인플루엔자드라마황준하
캐릭터,2022-10-26,376,스릴러,2022-10-19,나가이 아키라,"스다 마사키,후카세,오구리 ??,나카무라 시도,타카하타 미츠키",캐릭터스릴러나가이 아키라
캡틴 아메리카: 윈터 솔져,2022-10-26,4,"액션,어드벤처,SF",2014-03-26,"조 루소,안소니 루소","크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨,로버트 레드포드","캡틴 아메리카: 윈터 솔져액션,어드벤처,SF조 루소,안소니 루소"
사랑할 땐 누구나 최악이 된다,2022-10-26,237,"멜로/로맨스,드라마",2022-08-25,요아킴 트리에,"레나테 레인스베,앤더스 다니엘슨 라이,헤르베르트 노르드룸","사랑할 땐 누구나 최악이 된다멜로/로맨스,드라마요아킴 트리에"
종착역,2022-10-26,8,드라마,2021-09-23,"권민표,서한솔","설시연,배연우,박소정,한송희,강석원,나도율,김보예,김나경","종착역드라마권민표,서한솔"
리슨,2022-10-26,8,드라마,2021-12-09,아나 로샤,"루치아 모니즈,메이지 슬라이,소피아 마일즈,루벤 가르시아",리슨드라마아나 로샤
비브르 사 비,2022-10-26,17,드라마,1997-05-03,장 뤽 고다르,"안나 카리나,사디 레보트,안드레 S. 라바르트,폴 파벨",비브르 사 비드라마장 뤽 고다르
다 잘된 거야,2022-10-26,10,드라마,2022-09-07,프랑수아 오종,"소피 마르소,앙드레 뒤솔리에,제랄딘 페라스,샬롯 램플링",다 잘된 거야드라마프랑수아 오종
썸머 필름을 타고!,2022-10-26,29,기타,2022-07-20,마츠모토 소우시,"이토 마리카,카네코 다이치,카와이 유미,이노리 키라라",썸머 필름을 타고!기타마츠모토 소우시
에브리씽 에브리웨어 올 앳 원스,2022-10-26,9785,"액션,코미디",2022-10-12,"다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스","에브리씽 에브리웨어 올 앳 원스액션,코미디다니엘 콴,다니엘 쉐이너트"
마태복음,2022-10-26,11,"드라마,사극",2005-09-01,피에르 파올로 파솔리니,"마르게리타 카루소,엔리케 이라조퀴,수잔나 파솔리니","마태복음드라마,사극피에르 파올로 파솔리니"
오펀: 천사의 탄생,2022-10-26,2105,"공포(호러),스릴러",2022-10-12,윌리엄 브렌트 벨,"이사벨 퍼만,줄리아 스타일즈,로지프 서덜랜드","오펀: 천사의 탄생공포(호러),스릴러윌리엄 브렌트 벨"
아나이스 인 러브,2022-10-26,45,멜로/로맨스,2022-10-13,,"아나이스 드무스티에,발레리아 브루니 테데스키",아나이스 인 러브멜로/로맨스
카사블랑카,2022-10-26,782,"드라마,멜로/로맨스,전쟁",1999-04-03,마이클 커티즈,"험프리 보가트,잉그리드 버그만,폴 헌레이드","카사블랑카드라마,멜로/로맨스,전쟁마이클 커티즈"
미니언즈2,2022-10-26,123,"애니메이션,어드벤처,코미디",2022-07-20,카일 발다,"피에르 꼬팽,스티브 카렐,타라지 P. 헨슨","미니언즈2애니메이션,어드벤처,코미디카일 발다"
광대: 소리꾼,2022-10-26,82,"사극,드라마",2022-02-24,조정래,"이봉근,이유리,김하연,박철민,김동완,김민준","광대: 소리꾼사극,드라마조정래"
더 요트,2022-10-26,53,"스릴러,범죄,액션",2022-10-20,,"루비 로즈,프랭크 그릴로,패트릭 슈왈제네거","더 요트스릴러,범죄,액션"
성적표의 김민영,2022-10-26,5,드라마,2022-09-08,"이재은,임지선","김주아,윤아정,손다현,임종민,심이안,조형일","성적표의 김민영드라마이재은,임지선"
티켓 투 파라다이스,2022-10-26,421,"멜로/로맨스,코미디",2022-10-12,올 파커,"줄리아 로버츠,조지 클루니,케이틀린 디버","티켓 투 파라다이스멜로/로맨스,코미디올 파커"
블랙 사이트,2022-10-26,195,액션,2022-11-02,,"미셸 모나한,제이슨 클락,제이 코트니",블랙 사이트액션
컴백홈,2022-10-26,514,"드라마,코미디",2022-10-05,이연우,"송새벽,라미란,이범수,이경영,오대환","컴백홈드라마,코미디이연우"
나를 죽여줘,2022-10-26,71,드라마,2022-10-19,최익환,"장현성,안승균,이일화,김국희,양희준",나를 죽여줘드라마최익환
"지금, 이대로가 좋아요",2022-10-26,48,드라마,2009-04-23,부지영,"공효진,신민아,서인애,이선희,최교식","지금, 이대로가 좋아요드라마부지영"
젊은 남자,2022-10-26,6,드라마,1994-12-17,배창호,"이정재,신은경,이응경,김보연,전미선",젊은 남자드라마배창호
프로메어,2022-10-26,192,애니메이션,2022-10-20,이마이시 히로유키,"마츠야마 켄이치,사카이 마사토",프로메어애니메이션이마이시 히로유키
"그 남자, 좋은 간호사",2022-10-26,61,스릴러,2022-10-19,토비아스 린드홀름,"에디 레드메인,제시카 차스테인","그 남자, 좋은 간호사스릴러토비아스 린드홀름"
토스카,2022-10-26,5,공연,2020-12-01,,"안나 네트렙코,프란체스코 멜리",토스카공연
고속도로 가족,2022-10-26,664,드라마,2022-11-02,이상문,"라미란,정일우,김슬기,백현진",고속도로 가족드라마이상문
수프와 이데올로기,2022-10-26,262,다큐멘터리,2022-10-20,양영희,"강정희,양영희,아라이 카오루",수프와 이데올로기다큐멘터리양영희
노 맨스 랜드,2022-10-26,82,액션,2021-03-22,미카 라이언스,"크리스 루스,로레나 앤드리아",노 맨스 랜드액션미카 라이언스
디셉션,2022-10-26,78,"멜로/로맨스,드라마",2022-10-20,아르노 데스플레생,"드니 포달리데스,레아 세이두","디셉션멜로/로맨스,드라마아르노 데스플레생"
졸업,2022-10-26,34,"드라마,코미디",1971-06-19,마이크 니콜스,"앤 밴크로프트,더스틴 호프만","졸업드라마,코미디마이크 니콜스"
정,2022-10-26,6,"드라마,멜로/로맨스",2000-06-17,배창호,"김유미,김명곤,윤유선,남정희","정드라마,멜로/로맨스배창호"
은하철도 999 - 극장판,2022-10-26,5,애니메이션,2022-10-05,린 타로,"노자와 마사코,이케다 마사코",은하철도 999 - 극장판애니메이션린 타로
달이 지는 밤,2022-10-26,3,드라마,2022-09-22,"김종관,장건재","김금순,안소희,강진아,곽민규","달이 지는 밤드라마김종관,장건재"
꽃다발 같은 사랑을 했다,2022-10-26,2,멜로/로맨스,2021-07-14,도이 노부히로,"아리무라 카스미,스다 마사키",꽃다발 같은 사랑을 했다멜로/로맨스도이 노부히로
우리가 말하지 않은 것,2022-10-26,2,드라마,2022-09-01,이시이 유야,"나가노 타이가,오오시마 유코",우리가 말하지 않은 것드라마이시이 유야
자백,2022-10-26,43693,"범죄,스릴러",2022-10-26,윤종석,"소지섭,김윤진,나나,최광일","자백범죄,스릴러윤종석"
이별의 아침에 약속의 꽃을 장식하자,2022-10-26,7,"애니메이션,판타지,드라마",2018-07-19,오카다 마리,"이와미 마나카,이리노 미유","이별의 아침에 약속의 꽃을 장식하자애니메이션,판타지,드라마오카다 마리"
썬다운,2022-10-26,1,"미스터리,드라마",2022-08-31,미셸 프랑코,"팀 로스,샤를로뜨 갱스부르","썬다운미스터리,드라마미셸 프랑코"
블레이드 러너: 파이널 컷,2022-10-26,38,"SF,드라마",1993-05-08,리들리 스콧,"해리슨 포드,룻거 하우어","블레이드 러너: 파이널 컷SF,드라마리들리 스콧"
본 투 비 블루,2022-10-26,15,드라마,2016-06-09,로버트 뷔드로,"에단 호크,카르멘 에조고",본 투 비 블루드라마로버트 뷔드로
사일런스 앤드 다크니스,2022-10-26,82,"공포(호러),스릴러",2021-05-24,바락 바칸,"미나 워커,조안 글래킨","사일런스 앤드 다크니스공포(호러),스릴러바락 바칸"
미혹,2022-10-26,156,"미스터리,공포(호러)",2022-10-19,김진영,"박효주,김민재,차선우","미혹미스터리,공포(호러)김진영"
귀못,2022-10-26,795,공포(호러),2022-10-19,탁세웅,"박하나,허진,정영주",귀못공포(호러)탁세웅
만추,2022-10-26,11,멜로/로맨스,2011-02-17,김태용,"현빈,탕웨이,김서라",만추멜로/로맨스김태용
어제 뭐 먹었어? -극장판,2022-10-26,60,"드라마,멜로/로맨스",2022-10-13,,니시지마 히데토시,"어제 뭐 먹었어? -극장판드라마,멜로/로맨스"
안나 카레니나,2022-10-26,0,뮤지컬,2018-06-29,신예지,에카테리나 구세바,안나 카레니나뮤지컬신예지
리멤버,2022-10-26,47431,드라마,2022-10-26,이일형,"이성민,남주혁",리멤버드라마이일형
낮과 달,2022-10-26,320,드라마,2022-10-20,이영아,"유다인,조은지",낮과 달드라마이영아
프린세스 아야,2022-10-26,71,"판타지,뮤지컬",2022-09-21,이성강,"백아연,박진영","프린세스 아야판타지,뮤지컬이성강"
"아치의 노래, 정태춘",2022-10-26,6,다큐멘터리,2022-05-18,고영재,"정태춘,박은옥","아치의 노래, 정태춘다큐멘터리고영재"
네 멋대로 해라: 장 뤽 고다르,2022-10-26,3,"코미디,드라마",2020-03-19,미셀 하자나비시우스,스테이시 마틴,"네 멋대로 해라: 장 뤽 고다르코미디,드라마미셀 하자나비시우스"
기동전사 건담 쿠쿠루스 도안의 섬,2022-10-26,2,"애니메이션,SF",2022-10-05,야스히코 요시카즈,후루야 토오루,"기동전사 건담 쿠쿠루스 도안의 섬애니메이션,SF야스히코 요시카즈"
사잇소리,2022-10-26,2,스릴러,2022-10-13,김정욱,"류화영,박진우",사잇소리스릴러김정욱
도그,2022-10-26,260,"코미디,드라마",2022-10-26,채닝 테이텀,채닝 테이텀,"도그코미디,드라마채닝 테이텀"
허셀프,2022-10-26,82,드라마,2022-05-12,필리다 로이드,해리엇 월터,허셀프드라마필리다 로이드
라이어×라이어,2022-10-26,2,멜로/로맨스,2022-10-17,야쿠모 사이지,모리 나나,라이어×라이어멜로/로맨스야쿠모 사이지
물방울을 그리는 남자,2022-10-26,53,다큐멘터리,2022-09-28,"김오안,브리짓 부이요",김창열,"물방울을 그리는 남자다큐멘터리김오안,브리짓 부이요"
선데이리그,2022-10-26,53,코미디,2022-10-05,이성일,이성욱,선데이리그코미디이성일
2차 송환,2022-10-26,5,다큐멘터리,2022-09-29,김동원,김영식,2차 송환다큐멘터리김동원
