번호,날짜,영화제목,관객수,개봉일
1,2021-06-21,콰이어트 플레이스 2,33905,2021-06-16
2,2021-06-21,크루엘라,25862,2021-05-26
3,2021-06-21,루카,9366,2021-06-17
4,2021-06-21,컨저링3: 악마가 시켰다,8853,2021-06-03
5,2021-06-21,여고괴담 여섯번째 이야기 : 모교,6106,2021-06-17
6,2021-06-21,분노의 질주: 더 얼티메이트,4832,2021-05-19
7,2021-06-21,캐시트럭,2716,2021-06-09
8,2021-06-21,인 더 하이츠,1163,2021-06-30
9,2021-06-21,극장판 귀멸의 칼날: 무한열차편,920,2021-01-27
10,2021-06-21,미드나이트,897,2021-06-30
11,2021-06-21,아야와 마녀,705,2021-06-10
12,2021-06-21,킬러의 보디가드 2,660,2021-06-23
13,2021-06-21,사랑하고 사랑받고 차고 차이고,624,2021-06-16
14,2021-06-21,"그 여름, 가장 차가웠던",487,2021-06-17
15,2021-06-21,클라이밍,389,2021-06-16
16,2021-06-21,분노의 질주,265,2001-09-21
17,2021-06-21,뱅드림! 로젤리아 에피소드Ⅰ: 약속,212,2021-06-03
18,2021-06-21,메이드 인 루프탑,198,2021-06-23
19,2021-06-21,포겟 미 낫-엄마에게 쓰는 편지,127,2021-06-03
20,2021-06-21,노매드랜드,112,2021-04-15
21,2021-06-21,아르코 라이브 뮤지컬 호프,112,2021-03-03
22,2021-06-21,블라이스 스피릿,103,2021-06-30
23,2021-06-21,신해석 삼국지,100,2021-06-24
24,2021-06-21,청춘선거,89,2021-06-17
25,2021-06-21,대해적,88,1111-11-11
26,2021-06-21,여호,85,1111-11-11
27,2021-06-21,그레타 툰베리,79,2021-06-17
28,2021-06-21,봄날은 간다,78,2001-09-28
29,2021-06-21,플래시백,73,2021-06-10
30,2021-06-21,인트로덕션,69,2021-05-27
31,2021-06-21,굴뚝마을의 푸펠,67,2021-05-26
32,2021-06-21,파이프라인,63,2021-05-26
33,2021-06-21,강호아녀,62,2021-06-10
34,2021-06-21,살로메,56,1111-11-11
35,2021-06-21,프로페서 앤 매드맨,56,2021-06-02
