번호,날짜,영화제목,관객수,개봉일
117,2021-02-22,미션 파서블,18558,2021-02-17
118,2021-02-22,소울,14400,2021-01-20
119,2021-02-22,극장판 귀멸의 칼날: 무한열차편,12904,2021-01-27
120,2021-02-22,퍼펙트 케어,2023,2021-02-19
121,2021-02-22,해리 포터와 불의 잔,1649,2005-12-01
122,2021-02-22,새해전야,1425,2021-02-10
123,2021-02-22,아이,692,2021-02-10
124,2021-02-22,몬스터 헌터,627,2021-02-10
125,2021-02-22,라야와 마지막 드래곤,594,2021-03-04
126,2021-02-22,더블패티,529,2021-02-17
127,2021-02-22,빛과 철,475,2021-02-18
128,2021-02-22,마리오네트,440,2021-02-17
129,2021-02-22,미나리,409,2021-03-03
130,2021-02-22,인투 더 미러,388,2021-02-17
131,2021-02-22,송가인 더 드라마 ,358,2021-02-11
132,2021-02-22,아홉수 로맨스,296,2021-02-24
133,2021-02-22,해피 투게더,274,1998-08-22
134,2021-02-22,클로저,254,2005-02-03
135,2021-02-22,세자매,252,2021-01-27
136,2021-02-22,해변의 에트랑제,249,2021-02-18
137,2021-02-22,폴리스,236,2021-02-10
138,2021-02-22,디지몬 어드벤처 : 라스트 에볼루션 인연,230,2021-02-17
139,2021-02-22,나는 나를 해고하지 않는다,220,2021-01-28
140,2021-02-22,소년시절의 너,216,2020-07-09
141,2021-02-22,ARKO LIVE 뮤지컬 시데레우스,200,2021-02-11
142,2021-02-22,시간의 끝에서 널 기다려,192,2021-02-17
143,2021-02-22,"구라, 베토벤",191,2021-02-25
144,2021-02-22,비포 미드나잇,164,2013-05-22
145,2021-02-22,화양연화,159,2000-10-20
146,2021-02-22,타락천사,156,1995-12-23
147,2021-02-22,동사서독 리덕스,138,2013-12-05
148,2021-02-22,용루각2: 신들의 밤,124,2021-02-10
149,2021-02-22,헬렌: 내 영혼의 자화상,120,2021-02-25
150,2021-02-22,레이니 데이 인 뉴욕,119,2020-05-06
151,2021-02-22,명탐정 코난: 진홍의 수학여행,107,2021-01-27
152,2021-02-22,드림빌더,103,2021-02-10
153,2021-02-22,로그시티,102,2021-02-11
154,2021-02-22,원더,99,2017-12-27
155,2021-02-22,밤빛,99,2021-03-04
156,2021-02-22,어니스트 씨프,89,2021-02-03
157,2021-02-22,프라미싱 영 우먼,88,2021-02-24
158,2021-02-22,2046,85,2004-10-15
159,2021-02-22,부에노스 아이레스 제로 디그리,84,1111-11-11
160,2021-02-22,우정어린 설복,82,1111-11-11
161,2021-02-22,페어웰,81,2021-02-04
162,2021-02-22,더 울프 오브 월스트리트,77,2014-01-09
163,2021-02-22,아비정전,74,1990-12-22
164,2021-02-22,엘프,73,2021-02-10
165,2021-02-22,간이역,56,2021-02-18
166,2021-02-22,스포트라이트,56,2016-02-24
167,2021-02-22,살아남은 사람들,54,2021-02-10
168,2021-02-22,산 파블로,54,1111-11-11
169,2021-02-22,필로우 토크,46,1111-11-11
170,2021-02-22,극장판 바이올렛 에버가든,45,2020-11-12
171,2021-02-22,열혈남아,42,1989-10-14
172,2021-02-22,바바 야가: 숲의 악령,40,2021-02-18
