영화제목,코드,장르,감독,주연배우
신해석 삼국지,20202537,"코미디,액션",후쿠다 유이치,"오오이즈미 요(유비), 카쿠 켄토(주유), 무로 츠요시(공명), 타카하시 츠토무(장비), 하시모토 사토시(관우), 하시모토 칸나(황씨 부인)"
멜랑콜리아,20125967,"드라마,SF,스릴러",라스 폰 트리에,"커스틴 던스트, 샤를로뜨 갱스부르"
브레이킹 더 웨이브,20081691,"드라마,뮤지컬",라스 폰 트리에,"에밀리 왓슨, 스텔란 스카스가드"
오아시스,20020226,드라마,이창동,"설경구(홍종두), 문소리(한공주), 이병철 (목사 역), 한진섭 (형사1)"
밀양,20070115,드라마,이창동,"전도연(피아노 학원 강사, 이신애), 송강호(카센터 사장, 김종찬 )"
하녀,20100188,"스릴러,멜로/로맨스",임상수,"전도연(하녀, 은이), 이정재(주인남자, 훈), 윤여정(하녀, 병식), 서우(안주인, 해라)"
섹스 끝판왕,20217411,멜로/로맨스,Null,Null
코지 판 투테,20217480,"공연,멜로/로맨스,드라마",Null,Null
블루 재스민,20131541,드라마,우디 앨런,"케이트 블란쳇, 알렉 볼드윈"
우리에겐 교황이 있다,20134462,"드라마,코미디",난니 모레티,"난니 모레티, 미셸 피콜리, 마르게리타 부이"
너는 여기에 없었다,20177461,"드라마,미스터리,스릴러",린 램지,"호아킨 피닉스, 예카테리나 삼소노프"
립반윙클의 신부,20164094,"드라마,멜로/로맨스",이와이 슌지,"쿠로키 하루, 아야노 고"
죽여주는 여자,20161589,드라마,이재용,"윤여정, 전무송, 윤계상(도훈)"
며느리 : 탐스러운 육체 무삭제,20216892,"멜로/로맨스,드라마",Null,Null
학교 가는 길,20207582,다큐멘터리,김정인,"조부용, 이은자, 정난모, 장민희, 김남연"
코스믹 씬,20216961,"SF,액션",주연 브루스 윌리스 | 프랭크 그릴로 | 코리 라지 | C.J. 페리,"브루스 윌리스, 프랭크 그릴로, 코리 라지, C.J. 페리"
부기,20217220,드라마,에디 황,"테일러 타카하시, 테일러 페이지, 팝 스모크"
진홍의 도적,19528014,"액션,코미디,어드벤처",로버트 시오드막,"버트 랭카스터, 닉 크라바트"
양키 두들 댄디,19428001,126분0초,마이클 커티즈,"제임스 카그니, 조안 레슬리"
오만과 편견,19408011,"드라마,뮤지컬",로버트 Z. 레너드,"로렌스 올리비에, 그리어 가슨"
당신을 기다리는 시간,20159428,드라마,피에로 메시나,"줄리엣 비노쉬, 루 드 라쥬, 조르지오 콜란겔리"
시,20100191,드라마,이창동,윤정희(양미자)
비밀계약 : 오! 나의 섹신님,20216914,성인물(에로),Null,Null
음란한 여자친구,20217547,멜로/로맨스,Null,Null
워 히어로: 솔져 오브 갓,20216687,액션,Null,Null
타이페이 스토리,20080849,드라마,Null,Null
